Date,Product,Category,Sales,Quantity
2024-01-15,Laptop Pro,Electronics,$1299.99,1
2024-01-16,Wireless Mouse,Accessories,$29.99,3
2024-01-17,Desktop Monitor,Electronics,$399.99,2
2024-01-18,USB Cable,Accessories,$9.99,5
2024-02-01,Laptop Pro,Electronics,$1299.99,2
2024-02-02,Keyboard Elite,Accessories,$89.99,4
2024-02-15,Desktop Monitor,Electronics,$399.99,3
2024-03-01,Wireless Mouse,Accessories,$29.99,6
2024-03-15,Laptop Pro,Electronics,$1299.99,1
2024-03-16,USB Cable,Accessories,$9.99,10
2024-03-17,Keyboard Elite,Accessories,$89.99,2
2024-04-01,Desktop Monitor,Electronics,$399.99,4